dataset: visdrone
root_dir: /home/twsf/data/Visdrone/density_mask
test_dir: 
input_size: (640, 480)
mean: [0.382, 0.383, 0.367]
std: [0.164, 0.156, 0.164]
num_classes: 5
resume: False
pre: /home/twsf/work/CRGNet/run/visdrone/20200227_235050_train/model_best.pth.tar
backbone: mobilenetv2
output_stride: 16
output_channels: 5
sync_bn: False
batch_size: 32
epochs: 200
freeze_bn: False
loss: {'type': 'CrossEntropyLoss', 'ignore_index': -1, 'weight': None}
use_balanced_weights: True
lr_scheduler: poly
lr: 0.0005
momentum: 0.9
decay: 0.0005
steps: [0.8, 0.9]
gamma: 0.3
workers: 1
region_thd: 0.5
print_freq: 50
plot_every: 100
saver_freq: 1
seed: 1
Epoch: [44][118/203] lr: (1x:0.00050, eta: 17:54:56, time: 98.8, Loss: 0.8504 
Epoch: [44][168/203] lr: (1x:0.00050, eta: 17:53:36, time: 99.0, Loss: 0.8505 
Epoch: [45][15/203] lr: (1x:0.00050, eta: 17:51:04, time: 97.7, Loss: 0.8502 
Epoch: [45][65/203] lr: (1x:0.00050, eta: 17:49:01, time: 98.1, Loss: 0.8494 
Epoch: [45][115/203] lr: (1x:0.00050, eta: 17:49:13, time: 99.3, Loss: 0.8503 
Epoch: [45][165/203] lr: (1x:0.00050, eta: 17:47:25, time: 98.5, Loss: 0.8493 
Epoch: [46][12/203] lr: (1x:0.00050, eta: 17:45:16, time: 98.1, Loss: 0.8492 
Epoch: [46][62/203] lr: (1x:0.00050, eta: 17:43:39, time: 98.8, Loss: 0.8476 
Epoch: [46][112/203] lr: (1x:0.00050, eta: 17:43:02, time: 98.4, Loss: 0.8476 
Epoch: [46][162/203] lr: (1x:0.00050, eta: 17:40:59, time: 98.3, Loss: 0.8476 
Epoch: [47][9/203] lr: (1x:0.00050, eta: 17:38:20, time: 97.9, Loss: 0.8468 
Epoch: [47][59/203] lr: (1x:0.00050, eta: 17:36:47, time: 99.1, Loss: 0.8458 
Epoch: [47][109/203] lr: (1x:0.00050, eta: 17:35:27, time: 98.0, Loss: 0.8463 
Epoch: [47][159/203] lr: (1x:0.00050, eta: 17:34:00, time: 98.3, Loss: 0.8458 
Epoch: [48][6/203] lr: (1x:0.00050, eta: 17:29:53, time: 97.3, Loss: 0.8452 
Epoch: [48][56/203] lr: (1x:0.00050, eta: 17:27:58, time: 98.2, Loss: 0.8452 
Epoch: [48][106/203] lr: (1x:0.00050, eta: 17:27:11, time: 98.9, Loss: 0.8455 
Epoch: [48][156/203] lr: (1x:0.00050, eta: 17:24:48, time: 98.1, Loss: 0.8449 
Epoch: [49][3/203] lr: (1x:0.00050, eta: 17:21:48, time: 97.4, Loss: 0.8442 
Epoch: [49][53/203] lr: (1x:0.00050, eta: 17:20:31, time: 98.6, Loss: 0.8441 
Epoch: [49][103/203] lr: (1x:0.00050, eta: 17:19:05, time: 98.1, Loss: 0.8432 
Epoch: [49][153/203] lr: (1x:0.00050, eta: 17:16:10, time: 97.8, Loss: 0.8432 
Epoch: [49][203/203] lr: (1x:0.00050, eta: 17:13:01, time: 96.5, Loss: 0.8418 
Epoch: [50][50/203] lr: (1x:0.00050, eta: 17:14:20, time: 100.0, Loss: 0.8413 
Epoch: [50][100/203] lr: (1x:0.00050, eta: 17:14:11, time: 98.7, Loss: 0.8410 
Epoch: [50][150/203] lr: (1x:0.00050, eta: 17:12:10, time: 97.9, Loss: 0.8398 
Epoch: [50][200/203] lr: (1x:0.00050, eta: 17:10:27, time: 98.8, Loss: 0.8401 
Epoch: [51][47/203] lr: (1x:0.00050, eta: 17:06:44, time: 97.2, Loss: 0.8400 
Epoch: [51][97/203] lr: (1x:0.00050, eta: 17:06:25, time: 98.7, Loss: 0.8395 
Epoch: [51][147/203] lr: (1x:0.00050, eta: 17:04:44, time: 98.5, Loss: 0.8392 
Epoch: [51][197/203] lr: (1x:0.00050, eta: 17:03:24, time: 98.4, Loss: 0.8393 
Epoch: [52][44/203] lr: (1x:0.00050, eta: 17:00:18, time: 97.6, Loss: 0.8390 
Epoch: [52][94/203] lr: (1x:0.00050, eta: 16:59:28, time: 97.3, Loss: 0.8387 
Epoch: [52][144/203] lr: (1x:0.00050, eta: 16:56:23, time: 98.6, Loss: 0.8382 
Epoch: [52][194/203] lr: (1x:0.00050, eta: 16:55:02, time: 99.0, Loss: 0.8380 
Epoch: [53][41/203] lr: (1x:0.00050, eta: 16:53:22, time: 97.8, Loss: 0.8388 
Epoch: [53][91/203] lr: (1x:0.00050, eta: 16:51:34, time: 98.7, Loss: 0.8375 
Epoch: [53][141/203] lr: (1x:0.00050, eta: 16:50:57, time: 98.2, Loss: 0.8385 
Epoch: [53][191/203] lr: (1x:0.00050, eta: 16:48:45, time: 98.2, Loss: 0.8377 
Epoch: [54][38/203] lr: (1x:0.00050, eta: 16:45:41, time: 97.3, Loss: 0.8367 
Epoch: [54][88/203] lr: (1x:0.00050, eta: 16:44:40, time: 99.1, Loss: 0.8368 
Epoch: [54][138/203] lr: (1x:0.00050, eta: 16:44:08, time: 98.7, Loss: 0.8366 
Epoch: [54][188/203] lr: (1x:0.00050, eta: 16:43:30, time: 98.3, Loss: 0.8367 
Epoch: [55][35/203] lr: (1x:0.00050, eta: 16:41:19, time: 98.1, Loss: 0.8364 
Epoch: [55][85/203] lr: (1x:0.00050, eta: 16:39:27, time: 98.8, Loss: 0.8356 
