Val[Epoch: [84], mean_loss: 0.4321, mIoU: 0.7786, Acc: 0.9025, Acc_class: 0.8541, fwIoU: 0.8222, RRecall: 0.9442, RNum: 5.2]
Val[Epoch: [85], mean_loss: 0.4302, mIoU: 0.7836, Acc: 0.9042, Acc_class: 0.8601, fwIoU: 0.8256, RRecall: 0.9509, RNum: 5.2]
Val[Epoch: [86], mean_loss: 0.4319, mIoU: 0.7864, Acc: 0.9049, Acc_class: 0.8650, fwIoU: 0.8273, RRecall: 0.9561, RNum: 5.2]
Val[Epoch: [87], mean_loss: 0.4313, mIoU: 0.7853, Acc: 0.9047, Acc_class: 0.8628, fwIoU: 0.8267, RRecall: 0.9537, RNum: 5.2]
Val[Epoch: [88], mean_loss: 0.4293, mIoU: 0.7846, Acc: 0.9045, Acc_class: 0.8615, fwIoU: 0.8263, RRecall: 0.9507, RNum: 5.1]
Val[Epoch: [89], mean_loss: 0.4296, mIoU: 0.7834, Acc: 0.9041, Acc_class: 0.8602, fwIoU: 0.8254, RRecall: 0.9494, RNum: 5.2]
Val[Epoch: [90], mean_loss: 0.4285, mIoU: 0.7874, Acc: 0.9058, Acc_class: 0.8641, fwIoU: 0.8284, RRecall: 0.9541, RNum: 5.2]
Val[Epoch: [91], mean_loss: 0.4303, mIoU: 0.7911, Acc: 0.9069, Acc_class: 0.8695, fwIoU: 0.8308, RRecall: 0.9600, RNum: 5.2]
Val[Epoch: [92], mean_loss: 0.4282, mIoU: 0.7872, Acc: 0.9057, Acc_class: 0.8638, fwIoU: 0.8283, RRecall: 0.9542, RNum: 5.2]
Val[Epoch: [93], mean_loss: 0.4267, mIoU: 0.7840, Acc: 0.9048, Acc_class: 0.8591, fwIoU: 0.8262, RRecall: 0.9468, RNum: 5.2]
Val[Epoch: [94], mean_loss: 0.4274, mIoU: 0.7886, Acc: 0.9064, Acc_class: 0.8646, fwIoU: 0.8295, RRecall: 0.9544, RNum: 5.2]
Val[Epoch: [95], mean_loss: 0.4267, mIoU: 0.7889, Acc: 0.9064, Acc_class: 0.8655, fwIoU: 0.8296, RRecall: 0.9558, RNum: 5.2]
Val[Epoch: [96], mean_loss: 0.4254, mIoU: 0.7865, Acc: 0.9057, Acc_class: 0.8621, fwIoU: 0.8280, RRecall: 0.9503, RNum: 5.2]
Val[Epoch: [97], mean_loss: 0.4264, mIoU: 0.7878, Acc: 0.9062, Acc_class: 0.8635, fwIoU: 0.8290, RRecall: 0.9529, RNum: 5.2]
Val[Epoch: [98], mean_loss: 0.4276, mIoU: 0.7933, Acc: 0.9079, Acc_class: 0.8713, fwIoU: 0.8326, RRecall: 0.9632, RNum: 5.2]
Val[Epoch: [99], mean_loss: 0.4264, mIoU: 0.7852, Acc: 0.9051, Acc_class: 0.8609, fwIoU: 0.8270, RRecall: 0.9495, RNum: 5.2]
Val[Epoch: [100], mean_loss: 0.4254, mIoU: 0.7890, Acc: 0.9067, Acc_class: 0.8648, fwIoU: 0.8298, RRecall: 0.9542, RNum: 5.2]
Val[Epoch: [101], mean_loss: 0.4260, mIoU: 0.7825, Acc: 0.9043, Acc_class: 0.8573, fwIoU: 0.8252, RRecall: 0.9476, RNum: 5.2]
Val[Epoch: [102], mean_loss: 0.4243, mIoU: 0.7841, Acc: 0.9050, Acc_class: 0.8586, fwIoU: 0.8265, RRecall: 0.9475, RNum: 5.3]
Val[Epoch: [103], mean_loss: 0.4252, mIoU: 0.7857, Acc: 0.9054, Acc_class: 0.8611, fwIoU: 0.8274, RRecall: 0.9509, RNum: 5.3]
Val[Epoch: [104], mean_loss: 0.4227, mIoU: 0.7880, Acc: 0.9066, Acc_class: 0.8623, fwIoU: 0.8294, RRecall: 0.9490, RNum: 5.2]
